player,game,pts,p_att,p_cmp,p_yds,p_td,p_int,p_2pts,rush_att,rush_yds,rush_td,rush_2pts,receptions,rec_yds,rec_td,rec_2pts,fumbles,fumble_td,week
John BrownJ. Brown,BUF@MIA,34.00,0,0,0,0,0,0,0,0,0,0,9,137,2,0,0,0,11
D.J. CharkD. Chark,JAX@IND,30.00,0,0,0,0,0,0,0,0,0,0,8,104,2,0,0,0,11
Calvin RidleyC. Ridley,ATL@CAR,28.00,0,0,0,0,0,0,0,0,0,0,8,143,1,0,0,0,11
Michael ThomasM. Thomas,NO@TB,25.00,0,0,0,0,0,0,0,0,0,0,8,114,1,0,0,0,11
Michael GallupM. Gallup,DAL@DET,23.00,0,0,0,0,0,0,0,0,0,0,9,148,0,0,0,0,11
Stefon DiggsS. Diggs,DEN@MIN,23.00,0,0,0,0,0,0,0,0,0,0,5,121,1,0,0,0,11
Deebo SamuelD. Samuel,ARI@SF,21.00,0,0,0,0,0,0,0,0,0,0,8,134,0,0,0,0,11
Randall CobbR. Cobb,DAL@DET,21.00,0,0,0,0,0,0,0,0,0,0,4,115,1,0,0,0,11
Keenan AllenK. Allen,KC@LAC,21.00,0,0,0,0,0,0,0,0,0,0,8,71,1,0,0,0,11
DeVante ParkerD. Parker,BUF@MIA,20.00,0,0,0,0,0,0,0,0,0,0,7,135,0,0,0,0,11
Marvin JonesM. Jones,DAL@DET,20.00,0,0,0,0,0,0,1,-4,0,0,4,43,2,0,0,0,11
Courtland SuttonC. Sutton,DEN@MIN,18.00,1,1,38,0,0,0,2,10,0,0,5,113,0,0,0,0,11
Jamison CrowderJ. Crowder,NYJ@WAS,18.00,0,0,0,0,0,0,0,0,0,0,5,76,1,0,0,0,11
D.J. MooreD. Moore,ATL@CAR,17.00,0,0,0,0,0,0,0,0,0,0,8,95,0,0,0,0,11
Julian EdelmanJ. Edelman,NE@PHI,16.00,1,1,15,1,0,0,0,0,0,0,5,53,0,0,0,0,11
Julio JonesJ. Jones,ATL@CAR,15.00,0,0,0,0,0,0,1,-4,0,0,6,91,0,0,0,0,11
DeAndre HopkinsD. Hopkins,HOU@BAL,15.00,0,0,0,0,0,0,0,0,0,0,7,80,0,0,0,0,11
Jarvis LandryJ. Landry,PIT@CLE,14.00,0,0,0,0,0,0,0,0,0,0,4,43,1,0,0,0,11
Marcus JohnsonM. Johnson,JAX@IND,13.00,0,0,0,0,0,0,0,0,0,0,4,38,1,0,0,0,11
Chris GodwinC. Godwin,NO@TB,13.00,0,0,0,0,0,0,0,0,0,0,3,47,1,0,0,0,11
Larry FitzgeraldL. Fitzgerald,ARI@SF,13.00,0,0,0,0,0,0,0,0,0,0,5,37,1,0,1,0,11
Kendrick BourneK. Bourne,ARI@SF,13.00,0,0,0,0,0,0,0,0,0,0,4,31,1,0,0,0,11
Tyrell WilliamsT. Williams,CIN@OAK,12.00,0,0,0,0,0,0,0,0,0,0,4,82,0,0,0,0,11
Jakeem GrantJ. Grant,BUF@MIA,12.00,0,0,0,0,0,0,1,7,1,0,3,32,0,0,0,0,11
Taylor GabrielT. Gabriel,CHI@LA,12.00,0,0,0,0,0,0,0,0,0,0,7,57,0,0,0,0,11
Phillip DorsettP. Dorsett,NE@PHI,12.00,0,0,0,0,0,0,0,0,0,0,3,33,1,0,0,0,11
Pharoh CooperP. Cooper,ARI@SF,12.00,0,0,0,0,0,0,0,0,0,0,3,35,1,0,0,0,11
Hunter RenfrowH. Renfrow,CIN@OAK,11.00,0,0,0,0,0,0,0,0,0,0,5,66,0,0,0,0,11
Tim PatrickT. Patrick,DEN@MIN,11.00,0,0,0,0,0,0,0,0,0,0,4,77,0,0,0,0,11
Scott MillerS. Miller,NO@TB,11.00,0,0,0,0,0,0,0,0,0,0,4,71,0,0,0,0,11
Anthony MillerA. Miller,CHI@LA,11.00,0,0,0,0,0,0,0,0,0,0,6,54,0,0,0,0,11
Chris ConleyC. Conley,JAX@IND,11.00,0,0,0,0,0,0,0,0,0,0,6,58,0,0,0,0,11
Christian KirkC. Kirk,ARI@SF,10.00,0,0,0,0,0,0,1,1,0,0,6,41,0,0,0,0,11
Kelvin HarmonK. Harmon,NYJ@WAS,10.00,0,0,0,0,0,0,0,0,0,0,5,53,0,0,0,0,11
Mike EvansM. Evans,NO@TB,10.00,0,0,0,0,0,0,0,0,0,0,4,69,0,0,0,0,11
Odell Beckham Jr.O. Beckham,PIT@CLE,10.00,0,0,0,0,0,0,0,0,0,0,4,60,0,0,0,0,11
Mike WilliamsM. Williams,KC@LAC,9.00,0,0,0,0,0,0,0,0,0,0,2,76,0,0,0,0,11
Auden TateA. Tate,CIN@OAK,9.00,0,0,0,0,0,0,0,0,0,0,4,56,0,0,0,0,11
Terry McLaurinT. McLaurin,NYJ@WAS,9.00,0,0,0,0,0,0,0,0,0,0,3,69,0,0,0,0,11
Olabisi JohnsonO. Johnson,DEN@MIN,9.00,0,0,0,0,0,0,0,0,0,0,6,35,0,0,0,0,11
Ted Ginn Jr.T. Ginn,NO@TB,9.00,0,0,0,0,0,0,0,0,0,0,2,14,1,0,0,0,11
Daniel BrownD. Brown,NYJ@WAS,9.00,0,0,0,0,0,0,0,0,0,0,1,20,1,0,0,0,11
Demaryius ThomasD. Thomas,NYJ@WAS,8.00,0,0,0,0,0,0,0,0,0,0,4,44,0,0,0,0,11
Seth RobertsS. Roberts,HOU@BAL,8.00,0,0,0,0,0,0,0,0,0,0,1,15,1,0,0,0,11
Josh ReynoldsJ. Reynolds,CHI@LA,8.00,0,0,0,0,0,0,1,-5,0,0,3,55,0,0,0,0,11
J.D. McKissicJ. McKissic,DAL@DET,8.00,0,0,0,0,0,0,3,13,0,0,3,40,0,0,0,0,11
Cooper KuppC. Kupp,CHI@LA,8.00,0,0,0,0,0,0,0,0,0,0,3,53,0,0,0,0,11
Allen HurnsA. Hurns,BUF@MIA,8.00,0,0,0,0,0,0,0,0,0,0,4,53,0,0,1,0,11
Keelan ColeK. Cole,JAX@IND,8.00,0,0,0,0,0,0,0,0,0,0,4,41,0,0,0,0,11
Danny AmendolaD. Amendola,DAL@DET,8.00,0,0,0,0,0,0,0,0,0,0,4,47,0,0,0,0,11
Nelson AgholorN. Agholor,NE@PHI,8.00,0,0,0,0,0,0,0,0,0,0,4,40,0,0,0,0,11
Dede WestbrookD. Westbrook,JAX@IND,7.00,0,0,0,0,0,0,0,0,0,0,4,32,0,0,0,0,11
James WashingtonJ. Washington,PIT@CLE,7.00,0,0,0,0,0,0,0,0,0,0,3,49,0,0,0,0,11
Cole BeasleyC. Beasley,BUF@MIA,7.00,0,0,0,0,0,0,0,0,0,0,4,38,0,0,0,0,11
Robby AndersonR. Anderson,NYJ@WAS,7.00,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,11
Kenny StillsK. Stills,HOU@BAL,6.00,0,0,0,0,0,0,0,0,0,0,4,27,0,0,0,0,11
Emmanuel SandersE. Sanders,ARI@SF,6.00,0,0,0,0,0,0,0,0,0,0,3,33,0,0,0,0,11
Curtis SamuelC. Samuel,ATL@CAR,6.00,0,0,0,0,0,0,0,0,0,0,4,25,0,0,0,0,11
Isaiah McKenzieI. McKenzie,BUF@MIA,6.00,0,0,0,0,0,0,1,10,0,0,3,21,0,0,0,0,11
Richie JamesR. James,ARI@SF,6.00,0,0,0,0,0,0,0,0,0,0,1,57,0,0,0,0,11
Amari CooperA. Cooper,DAL@DET,6.00,0,0,0,0,0,0,0,0,0,0,3,38,0,0,0,0,11
Albert WilsonA. Wilson,BUF@MIA,5.00,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0,11
Allen RobinsonA. Robinson,CHI@LA,5.00,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0,11
Zay JonesZ. Jones,CIN@OAK,5.00,0,0,0,0,0,0,0,0,0,0,3,25,0,0,0,0,11
Khadarel HodgeK. Hodge,PIT@CLE,5.00,0,0,0,0,0,0,0,0,0,0,1,41,0,0,0,0,11
Russell GageR. Gage,ATL@CAR,5.00,0,0,0,0,0,0,0,0,0,0,2,32,0,0,0,0,11
Keke CouteeK. Coutee,HOU@BAL,5.00,0,0,0,0,0,0,0,0,0,0,3,25,0,0,0,0,11
Sammy WatkinsS. Watkins,KC@LAC,4.00,0,0,0,0,0,0,0,0,0,0,2,26,0,0,0,0,11
JuJu Smith-SchusterJ. Smith-Schuster,PIT@CLE,4.00,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0,11
Trey QuinnT. Quinn,NYJ@WAS,4.00,0,0,0,0,0,0,0,0,0,0,2,9,0,1,0,0,11
Tevin JonesT. Jones,PIT@CLE,4.00,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0,11
N'Keal HarryN. Harry,NE@PHI,4.00,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,11
Marvin HallM. Hall,DAL@DET,4.00,0,0,0,0,0,0,0,0,0,0,1,39,0,0,0,0,11
Kenny GolladayK. Golladay,DAL@DET,4.00,0,0,0,0,0,0,0,0,0,0,1,34,0,0,0,0,11
Marquise BrownM. Brown,HOU@BAL,4.00,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0,11
Willie SneadW. Snead,HOU@BAL,3.00,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,11
Chester RogersC. Rogers,JAX@IND,3.00,0,0,0,0,0,0,1,18,0,0,1,11,0,0,0,0,11
Breshad PerrimanB. Perriman,NO@TB,3.00,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,11
Zach PascalZ. Pascal,JAX@IND,3.00,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,11
Diontae JohnsonD. Johnson,PIT@CLE,3.00,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,11
Justin HardyJ. Hardy,ATL@CAR,3.00,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,11
Mecole HardmanM. Hardman,KC@LAC,3.00,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,11
J.J. Arcega-WhitesideJ. Arcega-Whiteside,NE@PHI,3.00,0,0,0,0,0,0,0,0,0,0,1,29,0,0,0,0,11
Jarius WrightJ. Wright,ATL@CAR,2.00,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,11
Javon WimsJ. Wims,CHI@LA,2.00,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,11
Steven SimsS. Sims,NYJ@WAS,2.00,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,11
Mohamed SanuM. Sanu,NE@PHI,2.00,0,0,0,0,0,0,1,8,0,0,2,4,0,0,0,0,11
KeeSean JohnsonK. Johnson,ARI@SF,2.00,0,0,0,0,0,0,0,0,0,0,2,14,0,0,1,0,11
Johnny HoltonJ. Holton,PIT@CLE,2.00,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,11
Tyler BoydT. Boyd,CIN@OAK,2.00,0,0,0,0,0,0,1,10,0,0,1,0,0,0,0,0,11
Mike ThomasM. Thomas,CHI@LA,1.00,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,11
Byron PringleB. Pringle,KC@LAC,1.00,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,11
Jakobi MeyersJ. Meyers,NE@PHI,1.00,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,11
Jordan MatthewsJ. Matthews,NE@PHI,1.00,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,11
Andy IsabellaA. Isabella,ARI@SF,1.00,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,11
Marquise GoodwinM. Goodwin,ARI@SF,1.00,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,11
Alex EricksonA. Erickson,CIN@OAK,1.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11
Christian BlakeC. Blake,ATL@CAR,1.00,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,11
Vyncint SmithV. Smith,NYJ@WAS,-1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11
Chris GodwinC. Godwin,TB@ATL,37.00,0,0,0,0,0,0,0,0,0,0,7,184,2,0,0,0,12
Jarvis LandryJ. Landry,MIA@CLE,36.00,0,0,0,0,0,0,0,0,0,0,10,148,2,0,0,0,12
D.J. MooreD. Moore,CAR@NO,30.00,0,0,0,0,0,0,1,8,0,0,6,126,2,0,0,0,12
DeAndre HopkinsD. Hopkins,IND@HOU,27.00,0,0,0,0,0,0,0,0,0,0,6,94,2,0,0,0,12
Michael ThomasM. Thomas,CAR@NO,26.00,0,0,0,0,0,0,0,0,0,0,10,101,1,0,0,0,12
Allen RobinsonA. Robinson,NYG@CHI,25.00,0,0,0,0,0,0,0,0,0,0,6,131,1,0,0,0,12
A.J. BrownA. Brown,JAX@TEN,23.00,0,0,0,0,0,0,0,0,0,0,4,135,1,0,0,0,12
Calvin RidleyC. Ridley,TB@ATL,21.00,0,0,0,0,0,0,1,15,0,0,6,85,1,0,0,0,12
Will FullerW. Fuller,IND@HOU,21.00,0,0,0,0,0,0,0,0,0,0,7,140,0,0,0,0,12
Marquise BrownM. Brown,BAL@LA,21.00,0,0,0,0,0,0,0,0,0,0,5,42,2,0,0,0,12
Tyler BoydT. Boyd,PIT@CIN,20.00,0,0,0,0,0,0,0,0,0,0,5,101,1,0,1,0,12
Odell Beckham Jr.O. Beckham,MIA@CLE,20.00,0,0,0,0,0,0,0,0,0,0,6,84,1,0,0,0,12
Cole BeasleyC. Beasley,DEN@BUF,19.00,0,0,0,0,0,0,0,0,0,0,6,76,1,0,0,0,12
Davante AdamsD. Adams,GB@SF,19.00,0,0,0,0,0,0,0,0,0,0,7,43,1,1,0,0,12
James WashingtonJ. Washington,PIT@CIN,18.00,0,0,0,0,0,0,0,0,0,0,3,98,1,0,0,0,12
Robby AndersonR. Anderson,OAK@NYJ,18.00,0,0,0,0,0,0,0,0,0,0,4,86,1,0,0,0,12
Julian EdelmanJ. Edelman,DAL@NE,17.00,0,0,0,0,0,0,0,0,0,0,8,93,0,0,0,0,12
Robert WoodsR. Woods,BAL@LA,15.00,0,0,0,0,0,0,0,0,0,0,6,97,0,0,0,0,12
Willie SneadW. Snead,BAL@LA,15.00,0,0,0,0,0,0,0,0,0,0,2,14,2,0,0,0,12
