player,game,pts,p_att,p_cmp,p_yds,p_td,p_int,p_2pts,rush_att,rush_yds,rush_td,rush_2pts,receptions,rec_yds,rec_td,rec_2pts,fumbles,fumble_td,week
DeVante ParkerD. Parker,MIA@CLE,15.00,0,0,0,0,0,0,0,0,0,0,6,91,0,0,0,0,12
Russell GageR. Gage,TB@ATL,15.00,0,0,0,0,0,0,0,0,0,0,8,76,0,0,0,0,12
Dede WestbrookD. Westbrook,JAX@TEN,14.00,0,0,0,0,0,0,0,0,0,0,8,69,0,0,0,0,12
Allen HurnsA. Hurns,MIA@CLE,14.00,0,0,0,0,0,0,0,0,0,0,4,42,1,0,0,0,12
Deebo SamuelD. Samuel,GB@SF,13.00,0,0,0,0,0,0,0,0,0,0,2,50,1,0,0,0,12
Anthony MillerA. Miller,NYG@CHI,13.00,0,0,0,0,0,0,0,0,0,0,6,77,0,0,0,0,12
Golden TateG. Tate,NYG@CHI,12.00,0,0,0,0,0,0,0,0,0,0,3,33,1,0,0,0,12
Terry McLaurinT. McLaurin,DET@WAS,12.00,0,0,0,0,0,0,0,0,0,0,5,72,0,0,0,0,12
Randall CobbR. Cobb,DAL@NE,12.00,0,0,0,0,0,0,0,0,0,0,4,86,0,0,0,0,12
Jakobi MeyersJ. Meyers,DAL@NE,11.00,0,0,0,0,0,0,0,0,0,0,4,74,0,0,0,0,12
Julio JonesJ. Jones,TB@ATL,11.00,0,0,0,0,0,0,0,0,0,0,5,68,0,0,0,0,12
John BrownJ. Brown,DEN@BUF,11.00,0,0,0,0,0,0,0,0,0,0,2,39,1,0,0,0,12
Greg WardG. Ward,SEA@PHI,10.00,0,0,0,0,0,0,0,0,0,0,6,40,0,0,0,0,12
Malik TurnerM. Turner,SEA@PHI,10.00,0,0,0,0,0,0,0,0,0,0,1,33,1,0,0,0,12
Darius SlaytonD. Slayton,NYG@CHI,10.00,0,0,0,0,0,0,0,0,0,0,4,67,0,0,0,0,12
Kenny GolladayK. Golladay,DET@WAS,10.00,0,0,0,0,0,0,0,0,0,0,4,61,0,0,0,0,12
D.J. CharkD. Chark,JAX@TEN,10.00,0,0,0,0,0,0,0,0,0,0,5,38,0,1,0,0,12
Albert WilsonA. Wilson,MIA@CLE,9.00,0,0,0,0,0,0,1,4,0,0,6,33,0,0,0,0,12
Cooper KuppC. Kupp,BAL@LA,9.00,0,0,0,0,0,0,0,0,0,0,6,35,0,0,0,0,12
Marvin JonesM. Jones,DET@WAS,9.00,0,0,0,0,0,0,0,0,0,0,5,46,0,0,0,0,12
Michael GallupM. Gallup,DAL@NE,9.00,0,0,0,0,0,0,0,0,0,0,4,55,0,0,0,0,12
Mike EvansM. Evans,TB@ATL,9.00,0,0,0,0,0,0,0,0,0,0,4,50,0,0,0,0,12
Tre'Quan SmithT. Smith,CAR@NO,8.00,0,0,0,0,0,0,0,0,0,0,1,13,1,0,0,0,12
Sterling ShepardS. Shepard,NYG@CHI,8.00,0,0,0,0,0,0,1,22,0,0,5,15,0,0,0,0,12
N'Keal HarryN. Harry,DAL@NE,8.00,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,12
Chris ConleyC. Conley,JAX@TEN,8.00,0,0,0,0,0,0,0,0,0,0,4,49,0,0,0,0,12
Kelvin HarmonK. Harmon,DET@WAS,7.00,0,0,0,0,0,0,0,0,0,0,3,43,0,0,0,0,12
Miles BoykinM. Boykin,BAL@LA,7.00,0,0,0,0,0,0,0,0,0,0,2,54,0,0,0,0,12
Braxton BerriosB. Berrios,OAK@NYJ,7.00,0,0,0,0,0,0,0,0,0,0,1,69,0,0,0,0,12
Seth RobertsS. Roberts,BAL@LA,6.00,0,0,0,0,0,0,0,0,0,0,3,39,0,0,0,0,12
Hunter RenfrowH. Renfrow,OAK@NYJ,6.00,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0,12
D.K. MetcalfD. Metcalf,SEA@PHI,6.00,0,0,0,0,0,0,0,0,0,0,3,35,0,0,0,0,12
Alex EricksonA. Erickson,PIT@CIN,6.00,0,0,0,0,0,0,0,0,0,0,2,43,0,0,0,0,12
J.J. Arcega-WhitesideJ. Arcega-Whiteside,SEA@PHI,6.00,0,0,0,0,0,0,0,0,0,0,2,43,0,0,0,0,12
Curtis SamuelC. Samuel,CAR@NO,5.00,0,0,0,0,0,0,4,40,0,0,1,9,0,0,0,0,12
Breshad PerrimanB. Perriman,TB@ATL,5.00,0,0,0,0,0,0,0,0,0,0,1,44,0,0,0,0,12
Jordan MatthewsJ. Matthews,SEA@PHI,5.00,0,0,0,0,0,0,0,0,0,0,3,27,0,0,0,0,12
Diontae JohnsonD. Johnson,PIT@CIN,5.00,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0,12
Adam HumphriesA. Humphries,JAX@TEN,5.00,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,12
Ted Ginn Jr.T. Ginn,CAR@NO,5.00,0,0,0,0,0,0,0,0,0,0,2,38,0,0,0,0,12
Robert FosterR. Foster,DEN@BUF,5.00,0,0,0,0,0,0,1,22,0,0,1,24,0,0,0,0,12
Brandin CooksB. Cooks,BAL@LA,5.00,0,0,0,0,0,0,1,1,0,0,2,32,0,0,0,0,12
Danny AmendolaD. Amendola,DET@WAS,5.00,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0,12
Demaryius ThomasD. Thomas,OAK@NYJ,4.00,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0,12
David MooreD. Moore,SEA@PHI,4.00,0,0,0,0,0,0,1,4,0,0,1,31,0,0,0,0,12
Tyler LockettT. Lockett,SEA@PHI,4.00,0,0,0,0,0,0,0,0,0,0,1,38,0,0,0,0,12
T.Y. HiltonT. Hilton,IND@HOU,4.00,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,12
Corey DavisC. Davis,JAX@TEN,4.00,0,0,0,0,0,0,0,0,0,0,2,29,0,0,0,0,12
Deon CainD. Cain,PIT@CIN,4.00,0,0,0,0,0,0,0,0,0,0,1,35,0,0,0,0,12
Kendrick BourneK. Bourne,GB@SF,4.00,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0,12
Tyrell WilliamsT. Williams,OAK@NYJ,3.00,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,12
Courtland SuttonC. Sutton,DEN@BUF,3.00,0,0,0,0,0,0,0,0,0,0,1,27,0,0,0,0,12
Vyncint SmithV. Smith,OAK@NYJ,3.00,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0,12
J.D. McKissicJ. McKissic,DET@WAS,3.00,0,0,0,0,0,0,1,3,0,0,2,17,0,0,0,0,12
Isaiah McKenzieI. McKenzie,DEN@BUF,3.00,0,0,0,0,0,0,1,-5,0,0,2,13,0,0,0,0,12
Allen LazardA. Lazard,GB@SF,3.00,0,0,0,0,0,0,1,21,0,0,1,7,0,0,0,0,12
Marvin HallM. Hall,DET@WAS,3.00,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,12
Jamison CrowderJ. Crowder,OAK@NYJ,3.00,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,12
Keelan ColeK. Cole,JAX@TEN,3.00,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,12
Christian BlakeC. Blake,TB@ATL,3.00,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,12
Geronimo AllisonG. Allison,GB@SF,3.00,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,12
Auden TateA. Tate,PIT@CIN,2.00,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,12
Emmanuel SandersE. Sanders,GB@SF,2.00,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,12
Chester RogersC. Rogers,IND@HOU,2.00,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,12
Josh ReynoldsJ. Reynolds,BAL@LA,2.00,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,12
Kalif RaymondK. Raymond,JAX@TEN,2.00,0,0,0,0,0,0,1,-5,0,0,1,14,0,0,0,0,12
Zay JonesZ. Jones,OAK@NYJ,2.00,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,12
Josh GordonJ. Gordon,SEA@PHI,2.00,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,12
Taylor GabrielT. Gabriel,NYG@CHI,2.00,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,12
Jarius WrightJ. Wright,CAR@NO,1.00,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,12
Marquez Valdes-ScantlingM. Valdes-Scantling,GB@SF,1.00,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,12
Kenny StillsK. Stills,IND@HOU,1.00,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,12
Diontae SpencerD. Spencer,DEN@BUF,1.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12
Paul RichardsonP. Richardson,DET@WAS,1.00,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,12
Tim PatrickT. Patrick,DEN@BUF,1.00,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,12
Scott MillerS. Miller,TB@ATL,1.00,0,0,0,0,0,0,1,-2,0,0,1,8,0,0,0,0,12
Cody LatimerC. Latimer,NYG@CHI,1.00,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,12
Tevin JonesT. Jones,PIT@CIN,1.00,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,12
Jesper HorstedJ. Horsted,NYG@CHI,1.00,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,12
Steven SimsS. Sims,DET@WAS,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Richie JamesR. James,GB@SF,0.00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12
Michael WalkerM. Walker,JAX@TEN,-1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12
DeVante ParkerD. Parker,PHI@MIA,34.00,0,0,0,0,0,0,0,0,0,0,7,159,2,0,0,0,13
Robert WoodsR. Woods,LA@ARI,30.00,0,0,0,0,0,0,0,0,0,0,13,172,0,0,0,0,13
Alshon JefferyA. Jeffery,PHI@MIA,28.00,0,0,0,0,0,0,0,0,0,0,9,137,1,0,0,0,13
Kenny GolladayK. Golladay,CHI@DET,25.00,0,0,0,0,0,0,0,0,0,0,4,158,1,0,0,0,13
Davante AdamsD. Adams,GB@NYG,24.00,0,0,0,0,0,0,0,0,0,0,6,64,2,0,0,0,13
Courtland SuttonC. Sutton,LAC@DEN,23.00,0,0,0,0,0,0,0,0,0,0,4,74,2,0,0,0,13
Anthony MillerA. Miller,CHI@DET,23.00,0,0,0,0,0,0,0,0,0,0,9,140,0,0,0,0,13
Cole BeasleyC. Beasley,BUF@DAL,23.00,0,0,0,0,0,0,0,0,0,0,6,110,1,0,0,0,13
Allen RobinsonA. Robinson,CHI@DET,22.00,0,0,0,0,0,0,0,0,0,0,8,86,1,0,0,0,13
Julian EdelmanJ. Edelman,NE@HOU,22.00,0,0,0,0,0,0,1,-7,0,0,6,106,1,0,0,0,13
James WashingtonJ. Washington,CLE@PIT,21.00,0,0,0,0,0,0,0,0,0,0,4,111,1,0,0,0,13
Dede WestbrookD. Westbrook,TB@JAX,19.00,0,0,0,0,0,0,0,0,0,0,5,60,1,1,0,0,13
D.J. MooreD. Moore,WAS@CAR,19.00,0,0,0,0,0,0,1,-3,0,0,6,75,1,0,0,0,13
Allen LazardA. Lazard,GB@NYG,19.00,0,0,0,0,0,0,0,0,0,0,3,103,1,0,0,0,13
Cooper KuppC. Kupp,LA@ARI,18.00,0,0,0,0,0,0,0,0,0,0,6,65,1,0,0,0,13
Keenan AllenK. Allen,LAC@DEN,18.00,0,0,0,0,0,0,0,0,0,0,6,68,1,0,0,0,13
Calvin RidleyC. Ridley,NO@ATL,17.00,0,0,0,0,0,0,0,0,0,0,8,91,0,0,0,0,13
Zach PascalZ. Pascal,TEN@IND,17.00,0,0,0,0,0,0,0,0,0,0,7,109,0,0,0,0,13
DeAndre HopkinsD. Hopkins,NE@HOU,17.00,1,1,6,1,0,0,0,0,0,0,5,64,0,0,0,0,13
Robby AndersonR. Anderson,NYJ@CIN,17.00,0,0,0,0,0,0,0,0,0,0,7,101,0,0,0,0,13
Mike WilliamsM. Williams,LAC@DEN,16.00,0,0,0,0,0,0,0,0,0,0,5,117,0,0,0,0,13
Curtis SamuelC. Samuel,WAS@CAR,16.00,0,0,0,0,0,0,0,0,0,0,4,65,1,0,0,0,13
Russell GageR. Gage,NO@ATL,16.00,0,0,0,0,0,0,0,0,0,0,5,52,1,0,0,0,13
Amari CooperA. Cooper,BUF@DAL,16.00,0,0,0,0,0,0,0,0,0,0,8,85,0,0,0,0,13
Tyler BoydT. Boyd,NYJ@CIN,16.00,0,0,0,0,0,0,0,0,0,0,5,59,1,0,0,0,13
Kenny StillsK. Stills,NE@HOU,15.00,0,0,0,0,0,0,0,0,0,0,3,61,1,0,0,0,13
Deebo SamuelD. Samuel,SF@BAL,14.00,0,0,0,0,0,0,1,20,0,0,2,41,1,0,0,0,13
David MooreD. Moore,MIN@SEA,14.00,0,0,0,0,0,0,0,0,0,0,2,65,1,0,0,0,13
Sterling ShepardS. Shepard,GB@NYG,13.00,0,0,0,0,0,0,0,0,0,0,3,40,1,0,0,0,13
