player,game,pts,p_att,p_cmp,p_yds,p_td,p_int,p_2pts,rush_att,rush_yds,rush_td,rush_2pts,receptions,rec_yds,rec_td,rec_2pts,fumbles,fumble_td,week
Antonio BrownA. Brown,PIT@CLE,29.00,0,0,0,0,0,0,0,0,0,0,11,182,0,0,0,0,1
Stefon DiggsS. Diggs,NO@MIN,28.00,0,0,0,0,0,0,1,-6,0,0,7,93,2,0,0,0,1
Tyreek HillT. Hill,KC@NE,26.00,0,0,0,0,0,0,2,5,0,0,7,133,1,0,0,0,1
Adam ThielenA. Thielen,NO@MIN,24.00,0,0,0,0,0,0,0,0,0,0,9,157,0,0,0,0,1
Kenny GolladayK. Golladay,ARI@DET,22.00,0,0,0,0,0,0,0,0,0,0,4,69,2,0,0,0,1
Golden TateG. Tate,ARI@DET,20.00,0,0,0,0,0,0,2,7,0,0,10,107,0,0,0,0,1
Jordy NelsonJ. Nelson,SEA@GB,20.00,0,0,0,0,0,0,0,0,0,0,7,79,1,0,0,0,1
Nelson AgholorN. Agholor,PHI@WAS,20.00,0,0,0,0,0,0,0,0,0,0,6,86,1,0,0,0,1
DeAndre HopkinsD. Hopkins,JAX@HOU,18.00,0,0,0,0,0,0,0,0,0,0,7,55,1,0,0,0,1
Cooper KuppC. Kupp,IND@LA,17.00,0,0,0,0,0,0,0,0,0,0,4,76,1,0,0,0,1
Bennie FowlerB. Fowler,LAC@DEN,17.00,0,0,0,0,0,0,0,0,0,0,3,21,2,0,0,0,1
Amari CooperA. Cooper,OAK@TEN,17.00,0,0,0,0,0,0,0,0,0,0,5,62,1,0,0,0,1
Randall CobbR. Cobb,SEA@GB,17.00,0,0,0,0,0,0,0,0,0,0,9,85,0,0,0,0,1
Corey ColemanC. Coleman,PIT@CLE,16.00,0,0,0,0,0,0,0,0,0,0,5,53,1,0,0,0,1
Danny AmendolaD. Amendola,KC@NE,16.00,0,0,0,0,0,0,0,0,0,0,6,100,0,0,0,0,1
